"url","api_information_source_name","created_at","updated","list_source","certified_api_developer_name","fhir_version","tls_version","mime_types","http_response","http_response_time_second","smart_http_response","errors"
"https://webproxy.allina.com/FHIR/api/FHIR/DSTU2/","{""Allina Health System""}",2020-07-29 20:19:59,2022-01-04 18:21:34,"https://open.epic.com/MyApps/EndpointsJson","Epic Systems Corporation","1.0.2","TLS 1.2","{application/json+fhir,application/fhir+json}",200,0.2755,404,""
"https://epicproxy.et1123.epichosted.com/FHIRProxy/api/FHIR/DSTU2/","{AltaMed}",2020-07-29 20:16:59,2022-01-04 18:24:57,"https://open.epic.com/MyApps/EndpointsJson","Epic Systems Corporation","1.0.2","TLS 1.2","{application/json+fhir}",200,0.5719,404,""
"https://epicsoap.altru.org/fhir/api/FHIR/DSTU2/","{""Altru Health System""}",2020-07-29 20:20:00,2022-01-04 18:29:52,"https://open.epic.com/MyApps/EndpointsJson","Epic Systems Corporation","1.0.2","TLS 1.2","{application/fhir+json}",200,0.6741,404,""
"https://epicproxy.et0971.epichosted.com/FHIRProxy/api/FHIR/DSTU2/","{""AnMed Health""}",2020-07-29 20:13:20,2022-01-04 18:18:01,"https://open.epic.com/MyApps/EndpointsJson","Epic Systems Corporation","1.0.2","TLS 1.2","{application/json+fhir,application/fhir+json}",200,0.2751,404,""
"dentrix.com",NA,2020-07-29 20:19:56,2022-01-04 18:19:19,"NPPES","Unknown","Unknown","TLS 1.3",NA,404,0.1826,404,""
"www.fusionwebclinic.com","{""Apex Therapy, LLC""}",2020-07-29 20:16:43,2022-01-04 18:33:36,"NPPES","Unknown","Unknown","TLS 1.3",NA,404,0.932,404,""
"complexmotion.com",NA,2020-07-29 20:18:29,2022-01-04 18:28:02,"NPPES","Unknown","Unknown","",NA,0,0,0,"making the GET request to https://complexmotion.com/metadata failed: Get ""https://complexmotion.com/metadata"": EOF"
"https://allscriptsstore.cloud.prod.iapps.com/fihr-apps",NA,2020-07-29 20:13:16,2022-01-04 18:29:13,"NPPES","Unknown","Unknown","",NA,0,0,0,"server could not be reached from URL: https://allscriptsstore.cloud.prod.iapps.com/fihr-apps/metadata"
"peachespharmacy.com",NA,2020-07-29 20:18:48,2022-01-04 18:35:38,"NPPES","Unknown","Unknown","",NA,0,0,0,"making the GET request to https://peachespharmacy.com/metadata failed: Get ""https://peachespharmacy.com/metadata"": dial tcp: lookup peachespharmacy.com on 127.0.0.11:53: no such host"
"https://epicmobile.med.cornell.edu/FHIR/api/FHIR/DSTU2/","{""Weill Cornell Medicine""}",2020-07-29 20:18:38,2022-01-04 18:32:17,"NPPES","Epic Systems Corporation","1.0.2","TLS 1.2","{application/json+fhir,application/fhir+json}",200,0.4483,404,""
"https://www.healthit.gov/sites/default/files/page/2019-03/170_315g_10_Standardized_API_for_Patient_a",NA,2020-07-29 20:15:30,2022-01-05 12:46:51,"NPPES","Unknown","Unknown","TLS 1.2",NA,404,0.0783,403,""
"www.forwardhealth.wi.gov",NA,2020-07-29 20:10:24,2022-01-04 18:24:26,"NPPES","Unknown","Unknown","TLS 1.2",NA,404,0.0445,404,""
"https://secure64.oncoemr.com/OncoEMR#",NA,2020-07-29 20:11:12,2022-01-04 18:19:47,"NPPES","Unknown","Unknown","TLS 1.2",NA,404,0.0063,404,""
"http://transfer.trinity-health.org",NA,2020-07-29 20:09:37,2022-01-04 18:26:11,"NPPES","Unknown","Unknown","TLS 1.2",NA,200,0.0717,200,""
"https://simplifier.net/user/jacobcorneliusparker","{PMGROUP,""ECONOMIC STIMULUS ACT STUDENT LOAN REFUND 1200 DOLLARS""}",2020-07-29 20:09:52,2022-01-04 18:31:18,"NPPES","Unknown","Unknown","TLS 1.2",NA,404,0.3914,404,""
"https://fhir.nextgen.com/nge/prod/patient-oauth/authorize",NA,2020-07-29 20:20:37,2022-01-04 18:19:33,"NPPES","Unknown","Unknown","TLS 1.3",NA,404,0.0466,404,""
"https://ehr.charmtracker.com/api/ehr/v1/fhir",NA,2020-07-29 20:07:47,2022-01-04 18:21:51,"NPPES","Unknown","DSTU3","TLS 1.3","{application/json+fhir,application/fhir+json}",200,1.6041,404,""
